Company,Last valuation(US$billions),Valuation date,Exit date,Exit reason,Exit valuation(US$billions),Country,Founders,col_8,Founder_Genders
Paytm Mall,3,July 2019[698],May 2022[699],Devaluation,0.013,India,,,[]
Luckin Coffee,2.9,April 2019[184][700],May 2019,IPO,,China,"Lu Zhengyao, Jenny Qian Zhiya",,"['unknown', 'female']"
Pivotal,2.8,May 2016[5],April 2018[701][702],IPO,3.9,United States,,,[]
Monday.com,2.7,May 2020[703],June 2021[704],IPO,6.8,Israel,"Roy Mann, Eran Kampf and Eran Zinman",,"['male', 'male', 'male']"
Cazoo,2.6,September 2020[705],August 2021[706],SPAC merger,8,United Kingdom,,,[]
Woowa Brothers,2.6,March 2018[468],December 2019[707],Acquired,4,South Korea,,,[]
Ucommune,2.6,August 2018[184],November 2020,SPAC merger,0.769,China,,,[]
Coursera,2.5,July 2020[708],March 2021[709],IPO,4.3,United States,Andrew NgandDaphne Koller,,['male']
Cambricon,2.5,June 2018[184],June 2020[710],IPO,,China,,,[]
The Hut Group,2.5,August 2017[711],September 2020[712],IPO,5.8,United Kingdom,,,[]
Postmates,2.4,September 2019[713],December 2020[714],Acquired,2.65,United States,,,[]
Box,2.4,July 2014,January 2015[715],IPO,1.67,United States,"Aaron Levie, Dylan Smith, Sam Ghods, Jeff Queisser",,"['male', 'male', 'male', 'male']"
Mercari,2.4,March 2018[716],June 2018[717],IPO,3.7,Japan,,,[]
Kingsoft,2.4,January 2018[184],May 2020[718],IPO,3.7,China,,,[]
Sportradar,2.4,July 2018[719],September 2021[720],IPO,21,Switzerland,,,[]
PolicyBazaar,2.4,March 2021[721],November 2021[722],IPO,6,India,"Yashish Dahiya, Alok Bansal, Avaneesh Nirjar",,"['unknown', 'male', 'unknown']"
GoPro,2.25,December 2012,June 2014[723],IPO,2.96,United States,Nick Woodman,,['male']
Babytree,2.19,May 2018,November 2018[724],IPO,1.47,China,,,[]
"Roku, Inc.",2.1,September 2017,September 2017[725],IPO,2.1,United States,Anthony Wood,,['male']
Three Squirrels,2.09,September 2015[184],July 2019[726],IPO,0.86,China,,,[]
AppDynamics,2.05,November 2015,January 2017[727],Acquired,3.7,United States,,,[]
AvidXchange,2,January 2020[728],October 2021[729],IPO,4.9,United States,,,[]
Wayfair,2,March 2014,October 2014[730],IPO,2.4,United States,,,[]
NantHealth,2,January 2016,June 2016[731],IPO,1.7,United States,,,[]
Meitu,2,December 2014,December 2016,IPO,4.6,China,,,[]
Nutanix,2,September 2016,September 2016,IPO,2.21,United States,,,[]
Uxin,2.0,January 2017[184],June 2018[732],IPO,,China,,,[]
Careem,2,October 2018,March 2019[733],Acquired,3.1,United Arab Emirates/Pakistan,"Mudassir Sheikha, Magnus Olsson",,"['unknown', 'male']"
AppLovin,2,July 2018[734],April 2021[735],IPO,28.6,United States,,,[]
ReNew Power,2,February 2017[736],August 2021[737],SPAC merger,4.5,India,Sumant Sinha,,['unknown']
Deliverr,2,November 2021[738],May 2022[739],Acquired,2.1,United States,"Harish Abbott, Michael Krakaris",,"['male', 'male']"
Auth0,1.92,July 2020[740],March 2021[741],Acquired,6.5,Argentina / United States,,,[]
Mobileye,1.9,July 2013,August 2014,IPO,7.6,Israel,,,[]
WalkMe,1.9,December 2019,June 2021[742],IPO,2.6,Israel / United States,,,[]
Avito.ru,1.82,February 2014[5][743],January 2019[744],Acquired,1.16,Russia,,,[]
23andMe,1.75,September 2017[745],June 2021[746],SPAC merger,3.5,United States,,,[]
IronSource,1.75,October 2019[747],June 2021[748],SPAC merger,11,Israel,,,[]
MedMen,1.65,February 2018[749],May 2018,Reverse takeover,2.0,United States,,,[]
Better Place,1.6,November 2012,July 2013,Acquired,0.012,United States,,,[]
Loom,1.53,May 2021[750],Video messaging,Acquired,0.975,United States,,,[]
Farfetch,1.5,May 2016[751],September 2018[752],IPO,6.2,Portugal / United Kingdom,José Neves,,['male']
Freshly,1.5,October 2020[753],October 2020,Acquired,1.5,United States,,,[]
MuleSoft,1.5,May 2015,March 2015,"IPO, Acquired",6.5,United States,,,[]
Jet.com,1.5,November 2015[754],August 2016[755],Acquired,3.3,United States,,,[]
LivingSocial,1.5,February 2013,October 2016,Acquired,,United States,,,[]
WhatsApp,1.5,July 2013,February 2014,Acquired,19,United States,"Brian Acton,Jan Koum",,"['male', 'male']"
Lakala,1.5,June 2015[184],April 2019,IPO,,China,,,[]
UCloud,1.5,June 2018[184],January 2020[756],IPO,1.9,China,,,[]
One Medical,1.5,August 2018[757],January 2020[758],IPO,1.7,United States,,,[]
Quikr,1.5,October 2015[759],February 2020[760],Devalued,0.57,India,Pranay Chulet,,['unknown']
Letgo,1.5,August 2018[761],March 2020[762],Acquired,,Spain / United States,,,[]
Ninebot,1.5,October 2017[184],October 2020[763],IPO,,China,,,[]
DouYu,1.5,March 2018[184],July 2019[764],IPO,3.73,China,,,[]
Proteus Digital Health,1.5,February 2016[765],July 2020[766],Bankruptcy,,United States,,,[]
Duolingo,1.5,December 2019,July 2021[767],IPO,3.6,United States,,,[]
Tuandaiwang,1.46,May 2017[184],April 2019[768],Bankruptcy,,China,,,[]
HomeAway,1.4,October 2010,November 2016,Acquired,3.9,United States,,,[]
Hike Messenger,1.4,August 2016[736],January 2021[769],Defunct,,India,Kavin Bharti Mittal,,['female']
Deezer,1.4,January 2016[770],September 2016[771],Acquired,,France,,,[]
Jasper,1.35,April 2014,February 2016,Acquired,1.4,United States,,,[]
Paidy,1.32,March 2021[772],September 2021[773],Acquired,2.7,Japan,,,[]
eFront,1.3,March 2019[774],May 2019[775],Acquired,1.3,France,,,[]
Sonder Corp.,1.3,July 2020[776],January 2022[777],SPAC merger,1.9[778],United States,,,[]
Sunrun,1.3,July 2016,August 2015,IPO,1.4,United States,,,[]
Solstice,1.7,July 2018,December 2009,Acquired,1.3,United States,,,[]
Darktrace,1.25,May 2018[779],April 2021[780],IPO,2.37,United Kingdom,,,[]
Okta,1.2,March 2017,April 2017[781],IPO,2.1,United States,,,[]
Good Technology,1.2,September 2014,September 2015,Acquired,0.425,United States,,,[]
BigBasket,1.2,March 2019[782],February 2021[783],Acquired by TATA GroupIPO (coming soon by 2024 - 2025 FY),1.8,India,"V. S. Sudhakar, Hari Menon, Vipul Parekh, Abhinay Choudhari, V. S. Ramesh",,"['unknown', 'male', 'male', 'unknown', 'unknown']"
Nykaa,1.2,April 2020[784],November 2021[785],IPO,7.4,India,Falguni Nayar,,['unknown']
HeadSpin,1.16,February 2020,August 2020[786],Devalued,0.25,United States,,,[]
Fab,1.15,August 2013,March 2015,Acquired,0.015,United States,,,[]
Gilt Groupe,1.15,February 2015,January 2016,Acquired,0.25,United States,,,[]
Vonage,1.11,August 2014,May 2006,IPO,2.65,United States,,,[]
ShopClues,1.1,January 2016,October 2019[787],Acquired,0.1,India,"Sanjay Sethi, Sandeep Aggarwal,Radhika Aggarwal",,"['male', 'male', 'female']"
Global Fashion Group,1.1,July 2016[788],July 2019[789],IPO,,Luxembourg,,,[]
TuSimple,1.1,February 2019[790],April 2021[791],IPO,8.5,United States,,,[]
Wheels Up,1.1,August 2019[792],July 2021,SPAC merger,2.1,United States,,,[]
Zulily,1.09,November 2012,October 2015,Acquired,2.4,United States,,,[]
Coupa,1.08,June 2015,October 2016,IPO,1.68,United States,,,[]
LinkedIn,1.06,February 2016,May 2011,IPO,4.3,United States,"Reid Hoffman,Eric Ly",,"['male', 'male']"
Twilio,1.03,July 2015,June 2016,IPO,1.2,United States,"Jeff Lawson, John Wolthuis, Evan Cooke",,"['male', 'male', 'male']"
SimpliVity,1.03,March 2015,January 2017,Acquired,0.65,United States,,,[]
Coveo,1.1,November 2019,November 2021[793],IPO,1.7,Canada,,,[]
Kabam,1+,December 2016,February 2017[794],Acquired,0.8,Canada,,,[]
Rent the Runway,1+,March 2019[795],October 2021[796],IPO,1.4,United States,,,[]
CRF Health,1,July 2018,July 2018,Acquisition[797],1,Finland,"Timo Ahopelto, Jarkko Joki-Tokola, Jaakko Ollila",,"['male', 'male', 'male']"
MySQL,1,January 2008,January 2008,Acquisition[798],1,Finland,Michael Widenius,,['male']
Heptagon,1,February 2018,February 2018,Acquisition[799],1,Finland,Christian Tang-Jespersen,,['male']
Zoom,1,January 2017,April 2019,IPO[800],9.0,United States,,,[]
Shopify,1,December 2013,May 2015,IPO,1.3,Canada,"Tobias Lütke, Scott Lake",,"['male', 'male']"
Truecaller,1,July 2015[801],October 2021[802],IPO,2,Sweden,Alan Mamedi and Nami Zarringhalam,,"['male', 'female']"
Kik,1+,August 2015,October 2019,Acquired,,Canada,,,[]
AirWatch,1,May 2013,January 2014,Acquired,1.54,United States,,,[]
Lynda.com,1,January 2015,April 2015,Acquired,1.5,United States,,,[]
New Relic,1,April 2014,December 2014,IPO,1.42,United States,,,[]
Quotient Technology,1,April 2016,March 2014,IPO,1.17,United States,,,[]
Shape Security,1,September 2019[803],December 2019[804],Acquired,1,United States,,,[]
Futu Holdings,1+,June 2017[184],March 2019[805],IPO,,China,,,[]
Peak Games,1+,,May 2020[806],Acquired,1.8,Turkey,,,[]
Skyscanner,1.6,February 2016[807],November 2016[808],Acquired,1.74,United Kingdom,,,[]
Blue Apron,2,January 2015[5],June 2017[809],IPO,2,United States,,,[]
Stitch Fix,,,November 2017[810][811],IPO,1.5,United States,,,[]
Shazam,1,January 2015[812],December 2017[813],Acquired,0.4,United Kingdom,,,[]
Flywire,1+,February 2020[814],May 2021[815],IPO,2.4,United States,,,[]
Mobike,3,July 2017[816],April 2018[817],Acquired,2.7,China,,,[]
Ele.me,6.0,June 2017[184][818],April 2018[819],Acquired,9.5,China,,,[]
Duo Security,1.17,October 2017[820],August 2018[821],Acquired,2.35,United States,,,[]
Bloom Energy,2.83,January 2015[5],July 2018[822],IPO,1.6,United States,,,[]
Moderna Therapeutics,7.5,February 2018[823],December 2018,IPO,7.5,United States,,,[]
Vlocity,1.0,March 2019[824],February 2020[825],Acquired,1.33,United States,,,[]
JFrog,1+,October 2018[826],September 2020[827],IPO,3.9,Israel / United States,,,[]
Glovo,1+,December 2019[828],January 2022[829],Acquired,2.6,Spain,,,[]
Innovent Biologics,1+,April 2018[184],November 2018[830],IPO,2.1,China,,,[]
iTutorGroup,1+,August 2016[184],July 2019[831],Acquired,,China,,,[]
9F,1+,March 2018[184],August 2019,IPO,2.1,China,,,[]
Fangdd.com,1+,September 2015[184],November 2019[832],IPO,1.2,China,,,[]
36KrMedia,1+,December 2017[184],November 2019[833],IPO,0.67,China,,,[]
Fanli,1+,April 2015[184],March 2020[834],Direct listing,,China,,,[]
17Zuoye,1+,March 2018[184],December 2020[835],IPO,2.2,China,,,[]
Zimi,1+,February 2015[184],March 2021[836],Acquired,0.4,China,,,[]
QingCloud,1+,June 2017[184],March 2021[837],IPO,0.46,China,,,[]
Novogene,1+,November 2016[184],April 2021,IPO,,China,,,[]
MissFresh,1+,December 2017[184],June 2021[838],IPO,2.5,China,,,[]
Essential Products,1+,August 2017[839],February 2020[840],Defunct,,United States,,,[]
